language,x1,x2,x3,x4,x5,x6
kumy1244,-,o,-,-,-,-
noga1249,-,o,l,-,-,-
kara1464,-,o,l,-,-,-
kara1465,-,o,l,-,-,-
kara1467,-,o,l,-,-,-
kaza1248,-,a,n,a,w,-
kirg1245,t,i,g,-,i,-
uigh1240,-,u,-,-,-,-
bash1264,t,e,g,-,e,-
nort2686,-,o,l,-,-,-
sout2694,-,o,l,-,-,-
crim1257,-,o,-,-,-,-
gaga1249,-,o,-,-,-,-
nort2697,-,o,-,-,-,-
turk1304,-,o,l,-,-,-
khak1248,-,o,l,-,-,-
shor1247,-,o,l,-,-,-
sala1264,v,u,-,-,-,-
west2402,-,o,l,-,-,-
turk1303,-,o,-,-,-,-
tuvi1240,-,-,d,-,e,-
dolg1241,-,o,l,-,-,-
yaku1245,-,o,l,-,-,-
chuv1255,-,-,l,-,e,S
